#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,2.0000000000000013,87335.43943073688,35348.8971401155,122684.33657085238,261.95287167004153,180.26915778770643,0.7580130855858799,0
2000,3.999999999999781,88891.14513924037,39384.85342154442,128275.99856078479,291.8613107838395,166.38087039272446,0.8212866070966444,489
3000,5.999999999999561,87175.29475732619,40660.20684008184,127835.50159740803,301.3123125804683,158.3077403131774,0.8631692945670382,484
4000,7.999999999999341,84928.00296737684,40597.78001333738,125525.78298071423,300.84969881149726,151.49705773401004,0.9019738242741531,481
5000,10.000000000000009,84013.76512525434,40322.039735615836,124335.80486087018,298.80632650208844,147.51694729342054,0.9263097090724693,480
6000,12.000000000000677,82373.97480860748,40818.82007728284,123192.79488589033,302.4877153887934,143.57052439764016,0.9517718285416615,481
7000,14.000000000001345,81694.94550006744,40262.627176462905,121957.57267653034,298.36604995196905,142.2486503664739,0.960616358598738,476
8000,16.00000000000201,81151.47586716362,40562.44506131951,121713.92092848313,300.5878492801041,140.45130709791553,0.9729092833245352,476
9000,18.000000000000902,79637.72051873448,40385.64107669564,120023.36159543012,299.2776440052026,138.13665206887174,0.9892116138915722,474
10000,19.999999999999794,80294.48918186792,40335.58773581544,120630.07691768336,298.9067239075182,136.27014616197397,1.0027609449263086,475
11000,21.999999999998685,78907.38473289338,40165.95509741758,119073.33983031096,297.64966186733204,136.21153859419817,1.0031924016196931,473
12000,23.999999999997577,78354.13372259261,40278.50144771207,118632.63517030468,298.4836861804178,134.82808576380782,1.0134860237503087,473
13000,25.99999999999647,78304.21110344148,40484.857854417525,118789.06895785901,300.01288956998155,134.6129203153771,1.0151059809896854,472
14000,27.99999999999536,79150.0871555566,40441.544135305565,119591.63129086216,299.691913414513,133.52923749249047,1.0233442734840152,471
15000,29.99999999999425,78092.96980584774,40502.13155765552,118595.10136350326,300.1408962840138,132.53872958833426,1.0309920802398764,470
16000,31.999999999993143,78236.83971879282,40617.743494948605,118854.58321374143,300.99763811822766,132.26432408539856,1.0331310538615033,470
17000,33.99999999999559,77415.36699467187,40998.8398325257,118414.20682719757,303.821751119987,131.5550410889084,1.03870121129207,468
18000,35.99999999999803,77139.68397604913,40507.979885444045,117647.66386149317,300.1842352954856,131.27981599150056,1.040878824353883,469
19000,38.000000000000476,76979.62901648926,40361.1695506823,117340.79856717156,299.09629785208415,131.10211744137825,1.0422896532676373,467
20000,40.00000000000292,77621.58250656025,40101.57409095508,117723.15659751534,297.1725666567796,130.70600413776853,1.0454483819013953,467
21000,42.000000000005365,76825.67318280198,39674.695482361596,116500.36866516358,294.0091843047833,130.17693178915968,1.0496973515395625,467
22000,44.00000000000781,75671.55369222374,39510.633131109644,115182.18682333338,292.793400856914,130.0113285611938,1.051034414022701,467
23000,46.00000000001025,76298.30337889335,39946.944655915606,116245.24803480896,296.0266857996555,129.63983611946168,1.0540462300855509,468
24000,48.0000000000127,75726.47055539553,40945.73656876362,116672.20712415915,303.42822958005354,128.57212369654965,1.0627994358492052,468
25000,50.00000000001514,75547.51568280678,40273.67040958989,115821.18609239667,298.44788579026033,128.73135951331682,1.061484793194401,468
26000,52.000000000017586,75225.10666187044,40462.03273919878,115687.13940106922,299.84374413797417,129.2160819691533,1.057502893202161,469
27000,54.00000000002003,75503.477042727,40362.57249538577,115866.04953811277,299.1066943686264,128.3621967581436,1.0645375662126788,468
28000,56.000000000022474,75903.61248755548,39998.57529593952,115902.187783495,296.4092944668175,128.37258605259677,1.0644514123493662,468
29000,58.00000000002492,75288.19120599481,40414.33720074082,115702.52840673563,299.4902965264295,127.84813855286122,1.0688179122305186,468
30000,60.00000000002736,74980.72649462876,40255.98772390187,115236.71421853063,298.31684831329306,128.2397172336155,1.065554287535563,467
31000,62.00000000002981,74835.10367016547,39703.53340526577,114538.63707543124,294.2228876259309,127.73072079957946,1.0698004338755527,467
32000,64.00000000003224,74343.62970537948,40450.38502799743,114794.01473337691,299.75742881714586,126.97721228352682,1.076148846499403,467
33000,66.00000000002758,74912.49297696422,39762.5573645751,114675.05034153932,294.6602844583449,127.58427001720024,1.0710284309515996,467
34000,68.00000000002292,74516.93951292761,40471.31745926151,114988.25697218912,299.9125485216992,126.9727483978229,1.0761866798574407,466
35000,70.00000000001826,74716.76346122561,40918.3016963494,115635.06515757501,303.22492355937857,126.74667329097095,1.0781062491236326,467
36000,72.0000000000136,74423.95205633866,40130.56618412025,114554.51824045891,297.3874124560768,127.10681734754338,1.0750515462675787,466
37000,74.00000000000894,74838.15649278194,39831.22598957314,114669.38248235508,295.1691530502155,126.85453130885315,1.0771895896878434,466
38000,76.00000000000428,74800.11519410956,40497.60330555192,115297.71849966148,300.10733968852844,126.0446338550201,1.0841110513899506,466
39000,77.99999999999962,74744.48568118934,40347.70357412798,115092.18925531732,298.99650828257467,127.14769462028535,1.0747059232077212,466
40000,79.99999999999496,74992.25476456922,40180.17659064196,115172.43135521119,297.7550501903339,126.80715910501024,1.0775920026523818,466
41000,81.9999999999903,74459.6965342369,40253.932963857194,114713.62949809409,298.30162152157277,126.61985714319938,1.079186026691599,466
42000,83.99999999998563,75076.24486211827,40566.01101968973,115642.255881808,300.61427480143317,125.96384371713798,1.0848063737835574,466
43000,85.99999999998097,74320.78338608291,40845.162626256,115165.94601233891,302.6829267506437,125.88058501583237,1.085523875770364,466
44000,87.99999999997631,74475.73961295019,40050.88338053925,114526.62299348944,296.796923334506,126.08680032448831,1.083748498486467,466
