#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,2.0000000000000013,67998.15527172486,37613.62369175861,105611.77896348346,278.7356194145831,122.29699757028334,1.1173322587261176,0
2000,3.999999999999781,71123.12578057527,39790.48363166186,110913.60941223713,294.8672319574254,122.82074536650391,1.1125675888292879,439
3000,5.999999999999561,71455.93833995808,40189.78718698965,111645.72552694773,297.82626947906476,122.76312641615299,1.1130897731246396,463
4000,7.999999999999341,71770.654255056,39884.00433010468,111654.65858516068,295.56026674774944,123.25213765409676,1.108673513753741,485
5000,10.000000000000009,72342.41220140556,39707.07308003493,112049.48528144049,294.2491183727314,123.2621196006809,1.1085837317523488,498
6000,12.000000000000677,71590.08125971083,40391.98483490641,111982.06609461724,299.3246544019883,123.11427686791909,1.1099149831113884,503
7000,14.000000000001345,71502.14169284387,39916.74851078773,111418.8902036316,295.8029173777368,122.94024987407582,1.1114861135436942,504
8000,16.00000000000201,71229.12591380195,40438.26164573408,111667.38755953603,299.66758853766976,123.41939368491974,1.1071710567585105,507
9000,18.000000000000902,71453.46732132434,39964.43185914424,111417.89918046858,296.1562746545797,123.7112218358121,1.1045592994949356,512
10000,19.999999999999794,71068.30194410024,40224.65922143578,111292.96116553602,298.0846885615027,123.53119291021916,1.1061690356211487,514
11000,21.999999999998685,71659.97644271026,40202.3830054861,111862.35944819637,297.91961074550096,123.47417042557774,1.106679883409209,512
12000,23.999999999997577,71929.72004128539,40346.08228757378,112275.80232885916,298.9844937445542,123.8347373971167,1.1034575871261856,514
13000,25.99999999999647,71227.35103714559,40083.87811478623,111311.22915193182,297.04143069075326,123.03117332973511,1.1106646944218117,516
14000,27.99999999999536,70578.55526096816,40178.211943076574,110756.76720404474,297.74049117680846,122.99925395924312,1.1109529215185825,515
15000,29.99999999999425,70798.60254420718,40003.32587690675,110801.92842111393,296.44449862952547,123.03014057694467,1.110674017682413,516
16000,31.999999999993143,71127.2421358205,40317.87159800832,111445.11373382882,298.775438533746,123.3657279400708,1.1076526910051383,517
